airport,latitude,longitude
CMH,39.99705605,-82.89304061
SIT,57.04768055,-135.3631936
BIH,37.3728747,-118.3657494
AGS,33.37230205,-81.96506391
STS,38.51034965,-122.8148338
VPS,30.4954202,-86.549503
BPT,29.95237505,-94.02178081
GPT,22.3160874,113.9364784
DIK,46.80199425,-102.8005199
ACV,40.9763645,-124.1084259
EAR,40.7266522,-99.0016625
CGI,37.22471585,-89.56800318
AEX,31.32927365,-92.54095487
MSO,46.91686665,-114.0878005
DLG,59.0433568,-158.5112028
DRT,29.3725627,-100.9224832
CIU,46.2481556,-84.4691458
HGR,39.70883285,-77.72675638
AMA,-4.1015945,141.6703234
ATW,44.25659495,-88.52169599
BJI,47.5101068,-94.92982435
LWB,37.8586232,-80.39963715
ABR,45.446144,-98.42064903
SAT,29.5334021,-98.46921443
SJT,31.35468635,-100.4986245
OGD,41.19456325,-112.0135196
JAC,43.6087926,-110.7380325
MVY,41.3923919,-70.61459569
LWS,46.37573125,-117.015503
PSG,56.80197975,-132.9449311
AKN,58.6753166,-156.649387
CLE,41.40645365,-81.85110104
SAF,35.61831735,-106.0878316
TBN,37.739739,-92.13919579
GRK,31.0616542,-97.82060336
GSP,34.8954456,-82.21722846
LAN,42.77810185,-84.58586489
HVN,41.2626111,-72.88563547
HIB,47.38500865,-92.83874878
MKG,43.1703365,-86.2370531
VEL,40.43530255,-109.5116072
HLN,46.6063969,-111.9827445
CDV,60.49175165,-145.4738854
SCE,40.85032355,-77.84866392
BKG,36.52780005,-93.19781658
ALO,42.5577097,-92.39406158
INL,48.5661049,-93.40407638
SPN,15.12049075,145.7296252
MEI,32.32774155,-88.75257828
TUL,36.2010229,-95.88681347
RIC,37.5073698,-77.3336845
USA,42.3743325,-71.0302794
LCH,30.12242205,-93.22206256
BZN,45.78359005,-111.1569796
PHL,39.875018,-75.23521279
ELP,31.809584,-106.366598
BMI,40.4733557,-88.91480265
PGD,26.9194137,-81.9930281
MFE,26.17627985,-98.23960548
LBE,40.2729348,-79.40641957
MAF,31.9460261,-102.2106187
BIS,46.7732585,-100.7471637
IMT,45.8213995,-88.11311416
TVC,44.74176785,-85.5802971
GCK,37.92967115,-100.7264319
SAV,32.12423765,-81.19770645
DCA,38.85128945,-77.03968894
FLG,35.14039825,-111.6702044
TYS,35.809553,-83.99887165
JAN,32.3121104,-90.07677829
LNK,40.84731465,-96.75744256
EWR,40.68906405,-74.17725485
GCC,44.34685815,-105.5379262
SPS,33.9854326,-98.4926831
CWA,44.7727172,-89.66716494
JMS,46.9276783,-98.67813531
APN,45.07879025,-83.55999676
SNA,33.6742056,-117.8680243
PLN,45.56926645,-84.7969503
HNL,21.32040435,-157.9173135
IAG,43.10726625,-78.95234982
DHN,31.32003875,-85.44995912
RNO,39.4986462,-119.7733319
MEM,35.04625645,-89.97689467
JNU,58.3566191,-134.580193
SMX,34.8994719,-120.4555162
CLL,30.58822845,-96.36411164
ALS,35.8210781,-77.3790233
DAL,32.84524055,-96.84732188
GTR,33.4502,-88.5903986
ELM,42.16082385,-76.89412932
ILG,39.6796715,-75.60763354
EUG,44.12416275,-123.214918
MOT,48.25794645,-101.277005
ERI,42.08471035,-80.17447235
GTF,47.4800263,-111.375579
BHM,33.56350085,-86.75151607
SWF,41.5020532,-74.12120288
UIN,39.9447505,-91.19378942
ORH,42.2686095,-71.87306398
EWN,35.07097995,-77.03950054
LAW,34.5698495,-98.4181223
DDC,37.7611827,-99.9657378
PBI,26.6859478,-80.09248651
FSD,43.58273465,-96.74120311
MDW,41.7854316,-87.75084869
LAS,36.0861034,-115.1611198
YAK,59.50081355,-139.6440808
CHO,38.1410243,-78.45245973
AUS,30.19348925,-97.66500964
BOI,43.55988165,-116.2078225
PPG,-14.3347658,-170.7159686
LAR,41.3134545,-105.6728654
EAT,47.39918335,-120.2056903
ROC,43.1161699,-77.67269339
DEC,39.83349835,-88.86199101
FAY,34.9921371,-78.88416821
PIB,31.4672,-89.3363366
ORF,36.8946697,-76.2022963
MCW,43.16076005,-93.327732
ART,43.9896298,-76.02236707
SCK,37.8943699,-121.2436346
DEN,39.8606676,-104.6853673
MGM,32.2962424,-86.39041851
OWB,37.73827615,-87.16449156
PUB,38.29844685,-104.503308
EYW,24.5554773,-81.75961603
CHA,35.03238355,-85.20167789
LCK,39.8132172,-82.93419973
GGG,32.38381895,-94.71366358
HYA,41.6707658,-70.28439043
MTJ,38.5118206,-107.892488
MLB,28.1027201,-80.64815801
JAX,30.49375,-81.69303816
SBN,41.7091043,-86.32325341
YKM,46.56681015,-120.5367982
BUF,42.9402016,-78.7307523
PNS,30.4725975,-87.18808593
JLN,37.15928825,-94.50090287
TOL,-4.98093375,152.0100794
SGU,37.0342442,-113.5090165
CDC,37.7025428,-113.0991022
JST,40.31459165,-78.83353249
RKS,41.59507585,-109.0684214
PIE,27.90994325,-82.68769326
GNV,29.69230675,-82.27600055
OME,64.5124643,-165.4560152
OKC,35.3848053,-97.60534425
BTV,44.4728965,-73.15146137
BTR,30.5319743,-91.15042415
ITH,42.49180205,-76.46069465
PAE,47.9088268,-122.2794302
BFM,30.6267668,-88.07030124
ABY,31.5339678,-84.19254493
CAE,33.93886305,-81.11397151
CNY,38.7689887,-109.7507974
ACT,31.6127285,-97.22484009
CRP,27.7702374,-97.50657535
COS,38.8004299,-104.7032771
TXK,33.45252615,-93.99025019
BWI,39.1828341,-76.6698273
SYR,43.1141752,-76.11914451
HRL,26.23004735,-97.65370801
CYS,41.1562943,-104.8088246
RDU,35.88036145,-78.78723822
ISP,40.79580915,-73.09920086
BGR,44.8072619,-68.81941486
HSV,34.63699305,-86.76383388
SWO,36.16188335,-97.08746807
FAI,64.8144321,-147.8585913
EAU,44.8689683,-91.48550075
FOD,42.55024315,-94.19327977
ATL,33.63779875,-84.42927119
BLI,48.79368955,-122.5359569
SHR,44.7665812,-106.9776385
EGE,39.6425635,-106.9171347
IAD,38.95226625,-77.45348491
MSP,44.87801905,-93.22092805
ATY,44.9126175,-97.14845997
MMH,37.6254888,-118.8417509
SMF,38.68722345,-121.5903701
YUM,32.64851395,-114.6077259
AVP,41.33709205,-75.72257123
ABE,40.6511631,-75.44225387
FCA,48.3108042,-114.2556937
CRW,38.37294755,-81.59421973
GRI,40.97051495,-98.30753672
GUC,38.5323609,-106.9398273
LFT,30.2031617,-91.98991066
OTZ,66.8836843,-162.6107466
BIL,45.80923485,-108.5476752
CSG,32.51660405,-84.9420079
LBB,33.66525745,-101.8266887
PIR,44.37841305,-100.2825619
SEA,47.4475673,-122.3080159
ANC,61.18103525,-149.9978919
BRD,46.40507465,-94.12827993
LSE,43.878607,-91.25557154
HPN,41.0680174,-73.70833334
DAB,29.1816439,-81.05426943
CDB,55.2014611,-162.7198441
RIW,43.0655193,-108.460459
ROA,37.32442625,-79.97679739
FLL,26.072017,-80.15099673
BOS,42.36317665,-71.01364006
BDL,41.9405835,-72.68501994
VLD,30.77831025,-83.27803411
ALW,46.0940857,-118.2912192
SRQ,27.39598835,-82.55407423
MCO,28.41290355,-81.3094431
ACY,39.45708535,-74.57027649
